Key,en,es,ar,fr
fingerprint,Fingerprint,Huella dactilar,بصمة,Empreinte digitale
fingerprint Authentication,Fingerprint Authentication,Autenticación de huellas digitales,مصادقة البصمة,Authentification des empreintes digitales
use Finger Print System,Use fingerprint to get more secure system,Use huellas digitales para obtener un sistema más seguro,استخدم بصمات الأصابع للحصول على نظام أكثر أمانًا,Utilisez des empreintes digitales pour obtenir un système plus sécurisé
complete,Complete,Completo,مكتمل,Complet
forty percent,40%,40%,40 ٪,40%
confirm,Confirm,Confirmar,يتأكد,Confirmer
skip Now,Skip Now,Omitir ahora,تخطي الآن,Sauter maintenant
facelock,Facelock,Estiramiento,الوجه,Liflock
facelock Authentication,Facelock Authentication,Autenticación de FACELOCK,مصادقة الوجه,Authentification de facélock
use Facelock System,Use facelock to get more secure system,Use FACELOCK para obtener un sistema más seguro,استخدم الوجه للحصول على نظام أكثر أمانًا,Utilisez FACELOCK pour obtenir un système plus sécurisé
capture,Capture,Captura,يأسر,Capturer
wait Approval,Wait for Approval,Espera por aprovacion,الانتظار للموافقة عليها,Attendre l'approbation
wait For Your Submitted,Wait for your submitted document to be approved by admin panel,Espere a que su documento enviado sea aprobado por el panel de administración,انتظر حتى يتم الموافقة على المستند المقدم من قبل لوحة المسؤول,Attendez que votre document soumis soit approuvé par le panneau d'administration
okay,Okay,Bueno,تمام,D'accord
go To Dashboard,Go To Dashboard,Ir al panel de control,الذهاب إلى لوحة القيادة,Aller au tableau de bord
reload,Reload,Recargar,إعادة تحميل,Recharger
exit,Exit,Salida,مخرج,Sortie
welcome Backto,Welcome Back to,Bienvenido de nuevo a,مرحبًا بك في,Bon retour à
sign In With,Sign In with,Inicia sesión con,تسجيل الدخول ب,Se connecter avec
new To App,New to QRPAY?,¿Nuevo en Qrpay?,جديد على QRPay؟,Nouveau sur QRPAY?
enter Your Phone Number,Enter your Phone Number to Reset your account,Ingrese su número de teléfono para restablecer su cuenta,أدخل رقم هاتفك لإعادة تعيين حسابك,Entrez votre numéro de téléphone pour réinitialiser votre compte
enter Phone,Enter Phone,Ingrese el teléfono,أدخل الهاتف,Entrer le téléphone
reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور,réinitialiser le mot de passe
new Password,New Password,Nueva contraseña,كلمة المرور الجديدة,nouveau mot de passe
enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة مرور جديدة,Entrez un nouveau mot de passe
congratulations,Congratulations,Felicidades,تهانينا,Toutes nos félicitations
your Password Has Been,"Your password has been reset Successfully, Sign in again now.","Su contraseña se ha restablecido correctamente, inicie sesión nuevamente ahora.",تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح ، وقم بتسجيل الدخول مرة أخرى الآن.,"Votre mot de passe a été réinitialisé avec succès, connectez-vous à nouveau maintenant."
send Money Succesfully,Your money has been send successfully. Thanks for using QRPAY,Su dinero ha sido enviado con éxito. Gracias por usar Qrpay,تم إرسال أموالك بنجاح. شكرا لاستخدام QRPay,Votre argent a été envoyé avec succès. Merci d'utiliser QRPAY
add Money Successfully,Your money has been add successfully. Thanks for using QRPAY,Su dinero se ha agregado con éxito. Gracias por usar Qrpay,تم إضافة أموالك بنجاح. شكرا لاستخدام QRPay,Votre argent a été ajouté avec succès. Merci d'utiliser QRPAY
opps,Opss!!,OPSS !!,OPSS !!,OPSS !!
value,Value,Valor,قيمة,Valeur
something Went Wrong,"Something went wrong, Try again letter.","Algo salió mal, intente de nuevo la carta.",حدث خطأ ما ، حاول مرة أخرى رسالة.,"Quelque chose s'est mal passé, réessayez la lettre."
total Receive,Total Receive,Recibir total,إجمالي الاستلام,Recevoir total
total Send,Total Send Remittance,Remesas de envío total,إجمالي إرسال التحويلات,Total des envois de fonds
send,Send,Enviar,يرسل,Envoyer
active,Active,Activo,نشيط,Actif
receive,Receive,Recibir,يستلم,Recevoir
recent Transactions,Recent Transactions,Transacciones Recientes,التحويلات الاخيرة,transactions récentes
money Send,Money Send,El dinero envía,إرسال المال,Envoi d'argent
first Oct,01-Oct-22,01-oct-22,01-OCT-22,01-oct-22
tn2023,#TN-20236598,#TN-20236598,#TN-20236598,# TN-20236598
Sep29,29-Sep-22,29-sep-22,29-SEP-22,29-Sep-22
t N20236,#TN-20236598,#TN-20236598,#TN-20236598,# TN-20236598
scan QR,SCAN QR,Escanear QR,مسح QR,Scan QR
mobile Top Up,Mobile Top Up,Recarga móvil,قمم الجوال,Recharge mobile
deposit,Deposit,Depósito,إيداع,Dépôt
withdraw,Withdraw,Retirar,ينسحب,Retirer
no Bank Found,No bank found,No se encuentra ningún banco,لم يتم العثور على بنك,Aucune banque trouvée
buy Giftcard,Buy Giftcard,Comprar tarjeta de regalo,شراء بطاقة الهدايا,Acheter une carte-cadeau
my Giftcard,My Giftcard,Mi tarjeta de regalo,بطاقة الهدايا الخاصة بي,Ma carte-cadeau
for Indivisual,For Indivisuals,Para indivisuales,لالتفافات,Pour les indivisaux
use Allpay Scan,Use Allpay Scan to pay me,Use Allpay Scan para pagarme,استخدم allpay مسح لدفع لي,Utilisez AllPay Scan pour me payer
specifyan Amount,Specify An Amount,Especificar una cantidad,حدد مبلغ,Spécifier un montant
save Image,Save Image,Guardar imagen,احفظ الصورة,Enregistrer l'image
transaction History,Transaction History,Historial de transacciones,تاريخ المعاملة,Historique des transactions
money Transfer,Money Transfer,Transferencia de dinero,تحويل المال,Transfert d'argent
qr Address,QR Address,Dirección QR,عنوان QR,Adresse QR
qr Code,7QRpdfhgb351gaj,7qrpdfhgb351gaj,7QRPDFHGB351GAJ,7qrpdfhgb351gaj
q C0135689,QC0135689,QC0135689,QC0135689,QC0135689
recipient,Recipient,Recipiente,متلقي,Destinataire
archit Barhum,Archit Barhum,Arquitera,أرشت بارهوم,Archite Barhum
zero00,0,0,0,0
paste,Paste,Pegar,معجون,Pâte
limit,Limit,Límite,حد,Limite
limit Amount,10.00 USD - 10000.00 USD,10.00 USD - 10000.00 USD,10.00 دولار أمريكي - 10000.00 دولار أمريكي,"10,00 USD - 10000,00 USD"
t RX2136987,TRX2136987,TRX2136987,TRX2136987,Trx2136987
transaction No,Transaction No,Transacción no,رقم العملية التجارية,Transaction non
no Transaction,No Transaction Available Yet,No hay transacción disponible todavía,لا توجد معاملة متاحة بعد,Aucune transaction disponible encore
recipient Information,Recipient Information,recipiente de información,معلومات المستلم,Renseignements sur le destinataire
giftcard Information,Giftcard Information,Información de tarjetas de regalo,معلومات بطاقة الهدايا,Informations sur la carte-cadeau
name,Name,Nombre,اسم,Nom
amount Information,Amount Information,Cantidad de información,معلومات المبلغ,Montant des informations
you Transfer,You Transfer,Transferirá,أنت تنقل,Vous transférez
your Money Has Been Save,Your money has been send Successfully. Thanks for using QRPAY,Su dinero ha sido enviado con éxito. Gracias por usar Qrpay,تم إرسال أموالك بنجاح. شكرا لاستخدام QRPay,Votre argent a été envoyé avec succès. Merci d'utiliser QRPAY
sayok,Sayok M.,Sayok M.,سايوك م.,Sayok M.
sayok Gmail,sayok@gmail.com,sayok@gmail.com,sayok@gmail.com,sayok@gmail.com
q RAddress,QR Address,Dirección QR,عنوان QR,Adresse QR
transfer Success,Transfer Success,Transferir éxito,نقل النجاح,Transférer le succès
yourmoney Sen Success,Your money has been send Successfully. Thanks for using QRPAY,Su dinero ha sido enviado con éxito. Gracias por usar Qrpay,تم إرسال أموالك بنجاح. شكرا لاستخدام QRPay,Votre argent a été envoyé avec succès. Merci d'utiliser QRPAY
yourmoney Withdraw Success,Your money has been withdraw Successfully. Thanks for using QRPAY,Su dinero se ha retirado con éxito. Gracias por usar Qrpay,لقد تم سحب أموالك بنجاح. شكرا لاستخدام QRPay,Votre argent a été retiré avec succès. Merci d'utiliser QRPAY
yourmoney Deposit Success,Your money has been Deposit Successfully. Thanks for using QRPAY,Su dinero se ha depositado con éxito. Gracias por usar Qrpay,لقد تم إيداع أموالك بنجاح. شكرا لاستخدام QRPay,Votre argent a été déposé avec succès. Merci d'utiliser QRPAY
your Bill Pay Success,Your bill has been paid Successfully. Thanks for using QRPAY,Su factura ha sido pagada con éxito. Gracias por usar Qrpay,تم دفع فاتورتك بنجاح. شكرا لاستخدام QRPay,Votre facture a été payée avec succès. Merci d'utiliser QRPAY
your Top Up Success,Your topup has been done Successfully. Thanks for using QRPAY,Su topup se ha realizado con éxito. Gracias por usar Qrpay,لقد تم تنفيذ Topup بنجاح. شكرا لاستخدام QRPay,Votre topup a été effectué avec succès. Merci d'utiliser QRPAY
backto Home,Back to Home,De vuelta a casa,العودة إلى المنزل,De retour à la maison
transfer Failed,Transfer Failed,Transferencia fallida,فشل النقل,Échec du transfert
your Moneyhas Beeen Failed,Your money has been Failed..!! Try Again! Thanks for using QRPAY,Tu dinero ha sido fallado .. !! ¡Intentar otra vez! Gracias por usar Qrpay,لقد فشل أموالك .. !! حاول ثانية! شكرا لاستخدام QRPay,Votre argent a échoué .. !! Essayer à nouveau! Merci d'utiliser QRPAY
try Again,Try Again,Intentar otra vez,حاول ثانية,Essayer à nouveau
add Plus,Add +,Agregar +,إضافة +,Ajouter +
update,Update,Actualizar,تحديث,Mise à jour
update Your App Right,Update your app right now for more feature,Actualice su aplicación ahora mismo para obtener más funciones,قم بتحديث تطبيقك الآن لمزيد من الميزة,Mettez à jour votre application dès maintenant pour plus de fonctionnalités
more Offer,More Offer,Más oferta,المزيد من العرض,Plus d'offre
select Receipient,Select Receipient,Seleccione el receptor,حدد استلام,Sélectionner le déchet
receiving Method,Receiving Method,Método de recepción,استلام طريقة,Méthode de réception
select Method,Select Method,Seleccionar método,حدد الطريقة,Sélectionner la méthode
sending Amount,Sending Amount,Cantidad de envío,إرسال المبلغ,Montant
u SD1Equal,1 USD = 1 USD,1 USD = 1 USD,1 دولار = 1 دولار أمريكي,1 USD = 1 USD
recipient Get,Recipient Get,Obtener el destinatario,المستلم الحصول,Destinataire
